ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp,cod_municipio
2014,1,S,7,0,11,18,38.8888888888889,0,61.1111111111111,5207907
2014,1,N,6,4,0,10,60,40,0,5208004
2014,1,S,9,2,0,11,81.8181818181818,18.1818181818182,0,5208103
2014,1,N,5,2,2,9,55.5555555555556,22.2222222222222,22.2222222222222,5208152
2014,1,N,1,1,1,3,33.3333333333333,33.3333333333333,33.3333333333333,5208400
2014,1,S,10,0,0,10,100,0,0,5208509
2014,1,S,41,0,1,42,97.6190476190476,0,2.38095238095238,5208608
2014,1,N,12,11,14,37,32.4324324324324,29.7297297297297,37.8378378378378,5208707
2014,1,N,1,5,8,14,7.14285714285714,35.7142857142857,57.1428571428571,5208806
2014,1,N,21,0,1,22,95.4545454545455,0,4.54545454545455,5208905
2014,1,N,24,1,2,27,88.8888888888889,3.7037037037037,7.40740740740741,5209101
2014,1,S,7,1,0,8,87.5,12.5,0,5209150
2014,1,N,12,0,2,14,85.7142857142857,0,14.2857142857143,5209200
2014,1,S,7,0,0,7,100,0,0,5209291
2014,1,N,4,3,0,7,57.1428571428571,42.8571428571429,0,5209408
2014,1,N,7,0,0,7,100,0,0,5209457
2014,1,N,11,0,0,11,100,0,0,5209606
2014,1,N,16,0,6,22,72.7272727272727,0,27.2727272727273,5209705
2014,1,N,4,0,1,5,80,0,20,5209804
2014,1,N,10,0,0,10,100,0,0,5209903
2014,1,S,8,3,0,11,72.7272727272727,27.2727272727273,0,5209937
2014,1,S,11,0,1,12,91.6666666666667,0,8.33333333333333,5209952
2014,1,S,17,4,4,25,68,16,16,5210000
2014,1,N,23,1,3,27,85.1851851851852,3.7037037037037,11.1111111111111,5210109
2014,1,N,9,0,1,10,90,0,10,5210158
2014,1,S,16,0,1,17,94.1176470588235,0,5.88235294117647,5210208
2014,1,N,2,3,0,5,40,60,0,5210307
2014,1,S,33,1,3,37,89.1891891891892,2.7027027027027,8.10810810810811,5210406
2014,1,S,7,1,0,8,87.5,12.5,0,5210562
2014,1,N,3,0,2,5,60,0,40,5210604
2014,1,N,12,1,3,16,75,6.25,18.75,5210802
2014,1,N,4,3,1,8,50,37.5,12.5,5210901
2014,1,S,15,1,1,17,88.2352941176471,5.88235294117647,5.88235294117647,5211008
2014,1,S,20,2,0,22,90.9090909090909,9.09090909090909,0,5211206
2014,1,S,2,0,0,2,100,0,0,5211305
2014,1,S,11,1,0,12,91.6666666666667,8.33333333333333,0,5211404
2014,1,N,32,9,3,44,72.7272727272727,20.4545454545455,6.81818181818182,5211503
2014,1,N,11,3,0,14,78.5714285714286,21.4285714285714,0,5211602
2014,1,S,15,0,0,15,100,0,0,5211701
2014,1,S,29,1,0,30,96.6666666666667,3.33333333333333,0,5211800
2014,1,S,73,4,3,80,91.25,5,3.75,5211909
2014,1,N,5,2,0,7,71.4285714285714,28.5714285714286,0,5212006
2014,1,S,5,0,0,5,100,0,0,5212055
2014,1,S,11,0,0,11,100,0,0,5212105
2014,1,N,26,0,5,31,83.8709677419355,0,16.1290322580645,5212204
2014,1,N,4,1,1,6,66.6666666666667,16.6666666666667,16.6666666666667,5212253
2014,1,S,4,2,4,10,40,20,40,5212303
2014,1,N,10,0,3,13,76.9230769230769,0,23.0769230769231,5212501
2014,1,S,9,0,2,11,81.8181818181818,0,18.1818181818182,5212600
2014,1,NA,0,0,0,0,-1,-1,-1,5212709
2014,1,N,9,1,1,11,81.8181818181818,9.09090909090909,9.09090909090909,5212808
2014,1,S,2,2,0,4,50,50,0,5212907
2014,1,S,4,2,0,6,66.6666666666667,33.3333333333333,0,5212956
2014,1,N,10,0,2,12,83.3333333333333,0,16.6666666666667,5213004
2014,1,S,0,8,1,9,0,88.8888888888889,11.1111111111111,5213053
2014,1,S,38,8,11,57,66.6666666666667,14.0350877192982,19.2982456140351,5213087
2014,1,S,25,2,1,28,89.2857142857143,7.14285714285714,3.57142857142857,5213103
2014,1,N,0,1,0,1,0,100,0,5213400
2014,1,NA,0,0,0,0,-1,-1,-1,5213509
2014,1,S,23,1,3,27,85.1851851851852,3.7037037037037,11.1111111111111,5213707
2014,1,S,0,0,0,0,-1,-1,-1,5213756
2014,1,N,4,4,3,11,36.3636363636364,36.3636363636364,27.2727272727273,5213772
2014,1,N,28,5,1,34,82.3529411764706,14.7058823529412,2.94117647058824,5213806
2014,1,S,6,0,0,6,100,0,0,5213855
2014,1,N,8,0,0,8,100,0,0,5213905
2014,1,S,12,2,3,17,70.5882352941177,11.7647058823529,17.6470588235294,5214002
2014,1,S,11,0,1,12,91.6666666666667,0,8.33333333333333,5214051
2014,1,N,1,3,0,4,25,75,0,5214101
2014,1,N,6,1,0,7,85.7142857142857,14.2857142857143,0,5214408
2014,1,S,15,0,0,15,100,0,0,5214507
2014,1,N,8,23,86,117,6.83760683760684,19.6581196581197,73.5042735042735,5214606
2014,1,S,7,0,1,8,87.5,0,12.5,5214705
2014,1,S,4,1,0,5,80,20,0,5214804
2014,1,NA,0,0,0,0,-1,-1,-1,5214838
2014,1,N,10,0,0,10,100,0,0,5214861
2014,1,N,5,0,2,7,71.4285714285714,0,28.5714285714286,5214879
2014,1,N,3,0,0,3,100,0,0,5214903
2014,1,S,7,1,0,8,87.5,12.5,0,5215009
2014,1,S,10,0,1,11,90.9090909090909,0,9.09090909090909,5215207
2014,1,NA,0,0,0,0,-1,-1,-1,5215231
2014,1,N,6,1,0,7,85.7142857142857,14.2857142857143,0,5215256
2014,1,NA,0,0,0,0,-1,-1,-1,5215306
2014,1,N,13,0,0,13,100,0,0,5215405
2014,1,S,7,2,3,12,58.3333333333333,16.6666666666667,25,5215504
2014,1,S,13,2,7,22,59.0909090909091,9.09090909090909,31.8181818181818,5215603
2014,1,N,11,1,0,12,91.6666666666667,8.33333333333333,0,5215652
2014,1,N,29,0,6,35,82.8571428571429,0,17.1428571428571,5215702
2014,1,NA,0,0,0,0,-1,-1,-1,5215801
2014,1,N,13,0,0,13,100,0,0,5215900
2014,1,S,9,0,2,11,81.8181818181818,0,18.1818181818182,5216007
2014,1,N,10,0,2,12,83.3333333333333,0,16.6666666666667,5216304
2014,1,S,22,4,0,26,84.6153846153846,15.3846153846154,0,5216403
2014,1,S,12,0,2,14,85.7142857142857,0,14.2857142857143,5216452
2014,1,N,14,2,0,16,87.5,12.5,0,5216809
2014,1,N,0,0,4,4,0,0,100,5216908
2014,1,S,13,2,4,19,68.4210526315789,10.5263157894737,21.0526315789474,5217104
2014,1,S,2,0,0,2,100,0,0,5217203
2014,1,S,11,0,0,11,100,0,0,5217302
2014,1,N,12,4,0,16,75,25,0,5217401
2014,1,NA,0,0,0,0,-1,-1,-1,5217609
2014,1,N,26,0,1,27,96.2962962962963,0,3.7037037037037,5217708
2014,1,N,13,0,2,15,86.6666666666667,0,13.3333333333333,5218003
2014,1,N,7,0,0,7,100,0,0,5218052
2014,1,S,6,0,0,6,100,0,0,5218102
2014,1,N,21,2,8,31,67.741935483871,6.45161290322581,25.8064516129032,5218300
2014,1,S,11,0,1,12,91.6666666666667,0,8.33333333333333,5218391
2014,1,S,48,0,1,49,97.9591836734694,0,2.04081632653061,5218508
2014,1,S,6,1,0,7,85.7142857142857,14.2857142857143,0,5218607
2014,1,S,2,2,2,6,33.3333333333333,33.3333333333333,33.3333333333333,5218706
2014,1,N,7,3,0,10,70,30,0,5218789
2014,1,S,101,2,5,108,93.5185185185185,1.85185185185185,4.62962962962963,5218805
2014,1,S,21,0,0,21,100,0,0,5218904
2014,1,N,10,0,0,10,100,0,0,5219001
2014,1,N,5,1,0,6,83.3333333333333,16.6666666666667,0,5219100
2014,1,N,8,7,0,15,53.3333333333333,46.6666666666667,0,5219209
2014,1,N,14,0,2,16,87.5,0,12.5,5219258
2014,1,N,16,0,0,16,100,0,0,5219308
2014,1,S,6,1,1,8,75,12.5,12.5,5219357
2014,1,S,9,0,0,9,100,0,0,5219407
2014,1,S,10,1,1,12,83.3333333333333,8.33333333333333,8.33333333333333,5219456
2014,1,S,6,1,0,7,85.7142857142857,14.2857142857143,0,5219506
2014,1,NA,0,0,0,0,-1,-1,-1,5219605
2014,1,N,11,0,0,11,100,0,0,5219704
2014,1,S,11,0,0,11,100,0,0,5219712
2014,1,N,6,0,0,6,100,0,0,5219738
2014,1,N,6,0,0,6,100,0,0,5219753
2014,1,N,0,2,2,4,0,50,50,5219803
2014,1,S,8,0,0,8,100,0,0,5219902
2014,1,N,0,1,18,19,0,5.26315789473684,94.7368421052632,5220058
2014,1,S,4,0,0,4,100,0,0,5220009
2014,1,S,21,0,2,23,91.304347826087,0,8.69565217391304,5220108
2014,1,N,7,1,2,10,70,10,20,5220157
2014,1,S,13,1,2,16,81.25,6.25,12.5,5220207
2014,1,S,13,1,2,16,81.25,6.25,12.5,5220264
2014,1,S,6,2,1,9,66.6666666666667,22.2222222222222,11.1111111111111,5220280
2014,1,S,9,0,1,10,90,0,10,5220405
2014,1,NA,0,0,0,0,-1,-1,-1,5220454
2014,1,N,5,0,0,5,100,0,0,5220504
2014,1,S,19,6,9,34,55.8823529411765,17.6470588235294,26.4705882352941,5220603
2014,1,N,0,4,0,4,0,100,0,5220686
2014,1,NA,0,0,0,0,-1,-1,-1,5220702
2014,1,S,2,2,1,5,40,40,20,5221007
2014,1,NA,0,0,0,0,-1,-1,-1,5221080
2014,1,N,0,3,1,4,0,75,25,5221197
2014,1,S,7,0,0,7,100,0,0,5221304
2014,1,S,9,0,7,16,56.25,0,43.75,5221403
2014,1,N,1,0,2,3,33.3333333333333,0,66.6666666666667,5221452
2014,1,N,9,0,0,9,100,0,0,5221502
2014,1,N,9,0,1,10,90,0,10,5221551
2014,1,S,14,0,1,15,93.3333333333333,0,6.66666666666667,5221577
2014,1,NA,0,0,0,0,-1,-1,-1,5221601
2014,1,S,6,7,0,13,46.1538461538462,53.8461538461538,0,5221700
2014,1,S,6,0,1,7,85.7142857142857,0,14.2857142857143,5221809
2014,1,S,0,1,0,1,0,100,0,5221858
2014,1,N,6,0,0,6,100,0,0,5221908
2014,1,S,21,0,2,23,91.304347826087,0,8.69565217391304,5222005
2014,1,N,4,0,5,9,44.4444444444444,0,55.5555555555556,5222054
