cod_municipio,ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp
520010,2016,2,S,8,1,20,29,0.275862069,0.0344827586,0.6896551724
520013,2016,2,S,13,2,2,17,0.7647058824,0.1176470588,0.1176470588
520015,2016,2,S,2,0,1,3,0.6666666667,0,0.3333333333
520017,2016,2,S,12,0,3,15,0.8,0,0.2
520020,2016,2,S,7,0,0,7,1,0,0
520025,2016,2,S,32,0,3,35,0.9142857143,0,0.0857142857
520030,2016,2,S,27,0,0,27,1,0,0
520050,2016,2,S,6,0,0,6,1,0,0
520055,2016,2,S,8,0,3,11,0.7272727273,0,0.2727272727
520060,2016,2,S,6,3,4,13,0.4615384615,0.2307692308,0.3076923077
520080,2016,2,N,8,0,0,8,1,0,0
520082,2016,2,S,11,1,0,12,0.9166666667,0.0833333333,0
520085,2016,2,S,10,0,0,10,1,0,0
520090,2016,2,S,8,0,0,8,1,0,0
520110,2016,2,N,29,0,0,29,1,0,0
520120,2016,2,N,1,0,1,2,0.5,0,0.5
520130,2016,2,S,20,2,1,23,0.8695652174,0.0869565217,0.0434782609
520140,2016,2,N,8,1,2,11,0.7272727273,0.0909090909,0.1818181818
520145,2016,2,S,11,0,0,11,1,0,0
520150,2016,2,S,8,0,2,10,0.8,0,0.2
520160,2016,2,S,9,0,0,9,1,0,0
520170,2016,2,S,1,5,0,6,0.1666666667,0.8333333333,0
520180,2016,2,S,8,0,0,8,1,0,0
520215,2016,2,S,11,0,1,12,0.9166666667,0,0.0833333333
520235,2016,2,S,1,0,8,9,0.1111111111,0,0.8888888889
520250,2016,2,S,0,8,1,9,0,0.8888888889,0.1111111111
520260,2016,2,S,9,0,0,9,1,0,0
520280,2016,2,S,5,1,1,7,0.7142857143,0.1428571429,0.1428571429
520310,2016,2,S,0,0,5,5,0,0,1
520320,2016,2,N,25,1,0,26,0.9615384615,0.0384615385,0
520330,2016,2,N,48,2,1,51,0.9411764706,0.0392156863,0.0196078431
520340,2016,2,S,5,5,3,13,0.3846153846,0.3846153846,0.2307692308
520350,2016,2,S,19,0,0,19,1,0,0
520355,2016,2,S,4,0,0,4,1,0,0
520357,2016,2,N,12,0,4,16,0.75,0,0.25
520360,2016,2,N,6,0,0,6,1,0,0
520380,2016,2,S,6,3,0,9,0.6666666667,0.3333333333,0
520390,2016,2,S,14,1,1,16,875,0.0625,0.0625
520393,2016,2,S,6,0,0,6,1,0,0
520396,2016,2,N,1,0,3,4,0.25,0,0.75
520400,2016,2,S,8,0,3,11,0.7272727273,0,0.2727272727
520410,2016,2,N,16,2,0,18,0.8888888889,0.1111111111,0
520420,2016,2,S,7,0,0,7,1,0,0
520425,2016,2,S,12,0,1,13,0.9230769231,0,0.0769230769
520430,2016,2,S,28,1,1,30,0.9333333333,0.0333333333,0.0333333333
520440,2016,2,N,26,1,0,27,0.962962963,0.037037037,0
520450,2016,2,S,16,0,0,16,1,0,0
520455,2016,2,S,6,1,0,7,0.8571428571,0.1428571429,0
520460,2016,2,S,8,0,1,9,0.8888888889,0,0.1111111111
520465,2016,2,S,10,0,0,10,1,0,0
520470,2016,2,S,5,2,7,14,0.3571428571,0.1428571429,0.5
520480,2016,2,N,10,1,3,14,0.7142857143,0.0714285714,0.2142857143
520485,2016,2,N,0,0,5,5,0,0,1
520490,2016,2,N,11,8,1,20,0.55,0.4,0.05
520495,2016,2,S,5,0,3,8,625,0,375
520500,2016,2,S,4,1,7,12,0.3333333333,0.0833333333,0.5833333333
520505,2016,2,N,8,0,0,8,1,0,0
520510,2016,2,N,55,0,2,57,0.9649122807,0,0.0350877193
520520,2016,2,S,6,2,3,11,0.5454545455,0.1818181818,0.2727272727
520530,2016,2,S,0,3,9,12,0,0.25,0.75
520540,2016,2,S,17,0,0,17,1,0,0
520545,2016,2,N,10,0,4,14,0.7142857143,0,0.2857142857
520547,2016,2,N,9,1,0,10,0.9,0.1,0
520549,2016,2,S,38,1,4,43,0.8837209302,0.023255814,0.0930232558
520551,2016,2,S,24,4,5,33,0.7272727273,0.1212121212,0.1515151515
520552,2016,2,S,1,5,2,8,125,625,0.25
520570,2016,2,S,4,1,0,5,0.8,0.2,0
