cod_municipio,ano,item1_mde,item1_fundeb,item1_mde,item1_fundeb,item3e4_mde_edu_inf,item3e4_fundeb_pag_mag,item3e4_mde_edu_fun,item3e4_fundeb_pag_mag,item3e4_fundeb_pag_mag,dedu_const,item_perc_certi
5204250,2015,"9065861,18","318124,27","8747736,91","302929,71","40071,07","1053353,03","1093424,1","226731,4","75229,2",-1334603,"26,78"
5204300,2015,"34872319,8","6627509,24","28244810,56","5237661,17","261473,15","10392388,27","10653861,42","3027838,77","2275974,61","163998,96","30,08"
5204409,2015,"36385193,05","4744692,92","31640500,13","4860001,12","779887,99","9834748,68","10614636,67","4788277,94","171483,2","-924317,38","31,71"
5204508,2015,"92964263,48","36752431,99","56211831,49","31508691,9","13522620,84","33674867,38","47197488,22","24126511,31","8562057,34",26206229,"22,58"
5204557,2015,"9202397,69","361406,48","8840991,21","1195483,89",0,"2945392,6","2945392,6","1179600,87",0,"-359849,86","35,92"
5204607,2015,"9404705,85","273746,45","9130959,4","1739131,31","30681,41","2648563,95","2679245,36","1628907,47","136979,56","66251,17","27,78"
5204656,2015,"10117046,6","688718,02","9428328,58","1863612,44",0,"2909875,75","2909875,75","1624006,5","238604,86","541050,15","23,41"
5204706,2015,"14818340,65","1675695,71","13142644,94","3581005,81",0,"5062889,68","5062889,68","2994259,06","684172,1","1260877,98","25,66"
5204805,2015,"19986069,92","3852497,08","16133572,84","3278351,5","249251,58","5802247,2","6051498,78","2811636,14","573049,72","732093,46","26,62"
5204854,2015,"12031409,2","1072640,47","10958768,73","4090460,15",0,"6179964,98","6179964,98","2776750,56","1354894,69","2270715,65","32,49"
5204904,2015,"21407383,58","2608133,16","18799250,42","11255689,07","41398,52","13868735,23","13910133,75","9324002,17","2712498,87","8952064,71","23,16"
5204953,2015,"9106304,94","209954,39","8896350,55","1966166,91",0,"2858565,61","2858565,61","1383311,69","652468,67","268874,43","28,44"
5205000,2015,"13296723,06","908503,84","12388219,22","2997268,72","274,8","5395418,14","5395692,94","2037223,37","305160,34","1114882,19","32,19"
5205059,2015,"10801010,52","767621,86","10033388,66","1420777,64","275820,52","2455462,94","2731283,46","1429212,96",1360,"-290578,38","27,98"
5205109,2015,"221491647,59","42759380,43","178732267,16","25397571,52","1954883,14","47001650,98","48956534,12","27960747,73","4908,45","-9412889,24","26,35"
5205208,2015,"9679638,71","613630,44","9066008,27","1820445,91","1887,74","3205394,31","3207282,05","1677878,31","395513,12","652364,69","26,39"
5205307,2015,"20847006,59","896023,72","19950982,87","5124672,39","93135,34","8436868,88","8530004,22","4638821,14","477981,84","1501248,8","33,72"
5205406,2015,"29746802,78","6630018,49","23116784,29","4953749,71","84312,67","9714953,95","9799266,62","4107957,12","757588,9","2200785,19","25,54"
5205455,2015,"24083280,75","4044359,91","20038920,84","2179886,64",0,"5272331,41","5272331,41","1804749,9","390066,05","-1296266,09","27,27"
5205471,2015,"44603488,51","8698353,63","35905134,88","6776147,45","2658007,66","9192278,15","11850285,81","4319500,86","2462178,31","-218364,34","27,06"
5205497,2015,"48140778,34","15221286,42","32919491,92","34544574,43","151644,01","40584382,89","40736026,9","26784172,44","6554305,54","29726505,3","22,87"
