ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp,cod_municipio
2016,2,N,9,1,6,16,56.25,6.25,37.5,5208301
2016,2,S,6,1,7,14,42.8571428571,7.1428571429,50,5207253
2016,2,S,18,0,0,18,100,0,0,5207352
2016,2,S,10,0,0,10,100,0,0,5207402
2016,2,N,5,0,0,5,100,0,0,5207501
2016,2,N,11,4,2,17,64.7058823529,23.5294117647,11.7647058824,5207535
2016,2,N,13,0,0,13,100,0,0,5207600
2016,2,S,0,0,14,14,0,0,100,5207808
2016,2,S,67,2,5,74,90.5405405405,2.7027027027,6.7567567568,5207907
2016,2,N,2,1,7,10,20,10,70,5208004
2016,2,S,9,1,2,12,75,8.3333333333,16.6666666667,5208103
2016,2,S,2,6,5,13,15.3846153846,46.1538461538,38.4615384615,5208152
2016,2,N,3,0,2,5,60,0,40,5208400
2016,2,S,9,0,0,9,100,0,0,5208509
2016,2,S,44,0,1,45,97.7777777778,0,2.2222222222,5208608
2016,2,N,35,0,0,35,100,0,0,5208707
2016,2,S,11,1,3,15,73.3333333333,6.6666666667,20,5208806
2016,2,N,2,1,20,23,8.6956521739,4.347826087,86.9565217391,5208905
2016,2,N,27,2,3,32,84.375,6.25,9.375,5209101
2016,2,N,7,0,0,7,100,0,0,5209150
2016,2,S,5,0,2,7,71.4285714286,0,28.5714285714,5209200
2016,2,S,5,0,2,7,71.4285714286,0,28.5714285714,5209291
2016,2,N,5,4,1,10,50,40,10,5209408
2016,2,N,12,0,0,12,100,0,0,5209457
2016,2,N,9,1,2,12,75,8.3333333333,16.6666666667,5209606
2016,2,S,9,0,13,22,40.9090909091,0,59.0909090909,5209705
2016,2,N,5,2,4,11,45.4545454545,18.1818181818,36.3636363636,5209804
2016,2,N,12,1,2,15,80,6.6666666667,13.3333333333,5209903
2016,2,S,3,3,2,8,37.5,37.5,25,5209937
2016,2,N,5,0,7,12,41.6666666667,0,58.3333333333,5209952
2016,2,S,22,2,2,26,84.6153846154,7.6923076923,7.6923076923,5210000
2016,2,N,14,1,4,19,73.6842105263,5.2631578947,21.0526315789,5210109
2016,2,S,11,0,0,11,100,0,0,5210158
2016,2,S,22,1,0,23,95.652173913,4.347826087,0,5210208
2016,2,N,6,0,0,6,100,0,0,5210307
2016,2,S,40,0,0,40,100,0,0,5210406
2016,2,S,5,2,0,7,71.4285714286,28.5714285714,0,5210562
2016,2,N,6,0,1,7,85.7142857143,0,14.2857142857,5210604
2016,2,S,16,0,1,17,94.1176470588,0,5.8823529412,5210802
2016,2,N,1,0,10,11,9.0909090909,0,90.9090909091,5210901
2016,2,N,15,1,0,16,93.75,6.25,0,5211008
2016,2,S,20,4,1,25,80,16,4,5211206
2016,2,S,18,1,1,20,90,5,5,5211305
2016,2,S,11,0,0,11,100,0,0,5211404
2016,2,S,39,0,0,39,100,0,0,5211503
2016,2,N,10,5,1,16,62.5,31.25,6.25,5211602
2016,2,N,15,0,0,15,100,0,0,5211701
2016,2,S,50,2,0,52,96.1538461538,3.8461538462,0,5211800
2016,2,S,79,0,1,80,98.75,0,1.25,5211909
2016,2,N,6,0,1,7,85.7142857143,0,14.2857142857,5212006
2016,2,S,6,0,0,6,100,0,0,5212055
2016,2,S,12,0,0,12,100,0,0,5212105
2016,2,S,33,0,1,34,97.0588235294,0,2.9411764706,5212204
2016,2,S,9,0,0,9,100,0,0,5212253
2016,2,S,5,1,12,18,27.7777777778,5.5555555556,66.6666666667,5212303
2016,2,N,63,7,4,74,85.1351351351,9.4594594595,5.4054054054,5212501
2016,2,S,8,0,2,10,80,0,20,5212600
2016,2,N,2,1,0,3,66.6666666667,33.3333333333,0,5212709
2016,2,S,11,1,3,15,73.3333333333,6.6666666667,20,5212808
2016,2,S,4,0,0,4,100,0,0,5212907
2016,2,N,8,0,3,11,72.7272727273,0,27.2727272727,5212956
2016,2,N,12,0,2,14,85.7142857143,0,14.2857142857,5213004
2016,2,S,0,9,1,10,0,90,10,5213053
2016,2,S,32,1,21,54,59.2592592593,1.8518518519,38.8888888889,5213087
2016,2,S,31,0,5,36,86.1111111111,0,13.8888888889,5213103
2016,2,N,0,1,0,1,0,100,0,5213400
2016,2,N,3,1,4,8,37.5,12.5,50,5213509
2016,2,N,32,1,0,33,96.9696969697,3.0303030303,0,5213707
2016,2,S,26,1,3,30,86.6666666667,3.3333333333,10,5213756
2016,2,N,14,0,2,16,87.5,0,12.5,5213772
2016,2,S,32,0,0,32,100,0,0,5213806
2016,2,S,2,1,3,6,33.3333333333,16.6666666667,50,5213855
2016,2,N,4,0,0,4,100,0,0,5213905
2016,2,S,0,23,0,23,0,100,0,5214002
2016,2,S,0,0,12,12,0,0,100,5214051
2016,2,S,2,4,2,8,25,50,25,5214101
2016,2,N,10,0,1,11,90.9090909091,0,9.0909090909,5214408
2016,2,S,15,0,0,15,100,0,0,5214507
2016,2,S,6,30,64,100,6,30,64,5214606
2016,2,S,4,4,0,8,50,50,0,5214705
2016,2,S,4,0,0,4,100,0,0,5214804
2016,2,S,10,0,11,21,47.619047619,0,52.380952381,5214838
2016,2,S,14,0,0,14,100,0,0,5214861
2016,2,S,0,2,8,10,0,20,80,5214879
2016,2,N,4,2,0,6,66.6666666667,33.3333333333,0,5214903
2016,2,S,3,0,0,3,100,0,0,5215009
2016,2,N,12,0,1,13,92.3076923077,0,7.6923076923,5215207
2016,2,S,70,0,13,83,84.3373493976,0,15.6626506024,5215231
2016,2,S,2,3,4,9,22.2222222222,33.3333333333,44.4444444444,5215256
2016,2,N,28,5,6,39,71.7948717949,12.8205128205,15.3846153846,5215306
2016,2,N,13,0,1,14,92.8571428571,0,7.1428571429,5215405
2016,2,N,11,0,1,12,91.6666666667,0,8.3333333333,5215504
2016,2,S,36,0,4,40,90,0,10,5215603
2016,2,N,13,2,3,18,72.2222222222,11.1111111111,16.6666666667,5215652
2016,2,N,40,3,3,46,86.9565217391,6.5217391304,6.5217391304,5215702
2016,2,N,0,0,1,1,0,0,100,5215801
2016,2,N,13,0,0,13,100,0,0,5215900
2016,2,S,6,0,0,6,100,0,0,5216007
2016,2,N,14,0,0,14,100,0,0,5216304
2016,2,N,18,1,9,28,64.2857142857,3.5714285714,32.1428571429,5216403
2016,2,S,14,1,2,17,82.3529411765,5.8823529412,11.7647058824,5216452
