cod_municipio,ano,item1_mde,item1_fundeb,itens3e4_mde_edu_inf,itens3e4_mde_edu_fun,itens3e4_fundeb_pag_mag,itens3e4_fundeb_outras_desp,dedu_const,item2_perc_cert
5205307,2016,22239165.79,5254670.43,55664.28,9656309.19,4994970.98,292965.92,1466684.44,37.08
5205406,2016,33661071.19,5129715.66,424701.79,9219624.29,4711272.73,467870.45,796659.72,26.28
5205455,2016,23542231.92,2454061.5,0,5666582.53,1815586.25,650006.39,-1303909.78,29.61
5205471,2016,52367442.27,7806580.45,2089855.83,13091009.38,5603026.44,1911370.36,-462108.24,29.87
5205497,2016,54692469.6,37253988.16,7226.09,42706690.91,29463868.18,5434044.84,30171724.76,22.93
5205513,2016,28846615.48,12592962.94,12133.2,15748299.47,9469667.1,3557531.95,8087387.78,26.6
5205521,2016,12633635.37,1710287.18,0,4436266.34,1295285.67,308769.47,-376384.02,38.09
5205703,2016,10845023.31,812031.72,10840,1911142.43,655179.81,209794.7,-1039372.16,27.31
5205802,2016,18166721.78,3429048.73,0,5276058.97,3008479.71,390581.57,264451.91,27.59
5205901,2016,24535655.89,4201297.25,379819.67,7925855.91,3010197.29,1218509.52,-162825.06,34.52
5206206,2016,99384632.23,36892262.57,225323.56,46887778.48,28922633.07,9129281.76,22611523.35,24.65
5206305,2016,14735294.55,2322882.91,0,3703376.49,1523957.11,834287.04,-188243.35,26.41
5206404,2016,1,1,1,1,1,1,1,1
5206503,2016,10624529.72,978673.91,28970.51,2020428.94,585412.51,399268.41,-898683.13,27.75
5206602,2016,11383406.54,380348.83,610119.36,860334.44,364677.53,1490.47,-1545825.84,26.5
5206701,2016,10877010.94,1175355.03,0,1971278.15,856399.9,339000.82,-565494.17,23.32
5206800,2016,10821117.18,1084412.82,41758.63,1748447.1,895683.93,243648.65,-792387.33,23.87
5206909,2016,17123899.63,751252.02,77771.38,2718087.24,676048.04,88897.49,-2449992.13,30.63
5207105,2016,10734334.71,426052.38,68604.29,1282463.53,337456.62,132379.71,-1379571,25.44
5208301,2016,11283009.78,2753931.04,19387.6,3766418.06,1793600.79,929368.95,880055.82,25.75
5207253,2016,18345096.01,2590118.84,0,6135767.71,2442490.51,129136.46,-110516.77,34.05
5207352,2016,15313110.74,2656039.75,17387.53,4902537.14,2487932.62,274828.04,592402.62,28.26
5207402,2016,30750240.06,4529954.04,73645.49,7629834.96,4529954.04,0,-405627.76,26.37
5207501,2016,10991279.83,1750486.36,2084.57,2628486.13,1425264.4,372434.38,-162595.47,25.41
5207535,2016,13910987.16,2693836.49,112792.54,4124850.07,1801378.63,854990.53,1009264.81,23.21
5207600,2016,11654877.23,1157657.44,22219.03,3000226.14,741540.09,450817.07,-829695.65,33.05
5207808,2016,17261974.44,2668338.09,1066827.29,3573830.18,2198336.79,491459.34,-415757.62,29.29
5207907,2016,19086141.63,6312724.74,45678.9,11240651.69,5336504.62,2464521.22,3926017.51,38.56
5208004,2016,108108950.35,49047011.34,39719097.67,19031799.78,38817466.97,8523031.33,36266722.22,20.8
5208103,2016,12777338.42,1306662.52,0,2717915.32,937967.79,355319.97,-1047014.63,29.47
5208152,2016,14523952.1,2652488.61,865.3,4691655.98,2609349.61,26375.57,82277.29,31.74
5208400,2016,21310570.13,5051468.84,143686.71,7832352.7,4490567.22,1350965.59,1686379.76,29.51
5208509,2016,11890723.82,1678655.32,36285.34,3393204.3,1358982.21,333899.9,-251491.87,30.96
5208608,2016,89704397.41,24825353.57,1835567.85,32787081.82,18900185.28,6430782.19,13103502.23,23.99
5208707,2016,2396742358.25,369542245.78,4278900,827344781.49,332035000,37399539.52,210777920.32,25.9
5208806,2016,49668161.31,18705978.62,4121898.8,26052199.02,18705978.62,218411.29,12902889.51,34.77
5208905,2016,34766839.91,5177907.41,248655.25,11124877.63,3763882.15,1312591,356676.47,31.69
5209101,2016,74512803.91,12300376.56,2142205.84,22254342.1,11770884.65,1222107.07,3922970.95,27.48
5209150,2016,15854795.53,2158023.05,34013.18,4350142.26,1916554.49,238590.33,-587024.42,31.35
5209200,2016,20622255.49,5506402.04,9109.8,9111911.84,3879898.39,1462518.93,3331037.7,28.08
5209291,2016,10118793.37,780452.89,64005.16,2219989.74,780452.89,37263.69,-1051112.47,32.96
5209408,2016,13135764.51,1973281.36,0,4096030.53,1973281.36,125812.68,-293085.14,33.41
5209457,2016,10805760.62,621359.73,0,2430277.08,621359.73,423426.41,-1084033.85,32.52
5209606,2016,10642316.19,668921.86,166230.08,2125650.65,126199.48,254971.52,-788699.77,28.95
5209705,2016,36969369.62,10122506.14,24939.04,14589544.36,7958342.58,1975013.83,5688597.33,24.14
5209804,2016,12424218.19,1081472.8,99393.07,2414465.1,1081472.8,332348.34,-1122257.97,29.27
5209903,2016,16223412.14,5466458.22,1244673.42,7733201.52,5160750.35,271477.13,2691955.08,38.75
5209937,2016,15451196.92,3723455.18,1363727.49,5176728.42,3723455.18,1383108.8,1502134.42,32.61
5209952,2016,23643870.46,7716453.08,121891.38,11460557.42,6420885.42,1257570.43,3477520.54,34.28
5210000,2016,58816360.06,17045379.14,173788.62,23340253.33,13616876.12,3491487.74,8758645.99,25.09
5210109,2016,54184905.27,11726165.03,1503312.5,20003548.76,8533538.76,6070061.47,5015087.34,30.44
5210158,2016,10070864.31,1007095.64,0,2740879.25,874987.16,242945.3,-725385.33,34.42
5210208,2016,39511089.05,6256662.25,3268186.85,7429710.66,5677804.48,638390.92,521196.03,25.76
5210307,2016,10821294.7,570966.16,153.44,2279648.89,564974.4,0,-1274791.16,32.85
5210406,2016,64292762.56,17697032.7,1804696.46,27051641.99,12360829.16,5275570.18,7705899.79,32.9
5210562,2016,11223765.08,2045221.68,34795.83,3028390.5,1468752.67,547815.85,47117.5,26.87
5210604,2016,11846486.61,1368449.09,160216.15,2486513.17,1072200.72,296306.11,-671712.14,28.01
5210802,2016,16419582.45,1987276.88,379974.14,4582520.58,1709113.4,158328.34,-714849.73,34.58
5210901,2016,28133029.28,7111063.47,159125.39,10395174.63,5926494.96,2159501.42,2470058.74,28.74
5211008,2016,14560258.07,1905592.51,0,4681401.43,1284764.88,1033523.96,-472395.85,35.4
5211206,2016,33039346.38,7684749.25,289115.12,11835483.69,6666834.86,1065530.98,3990087.08,24.62
5211305,2016,20739759.11,2564815.38,275432.62,7062099.8,184857.58,3003557.16,1027817.27,30.42
5211404,2016,12810110.18,2079656.57,92793.3,3223107.96,2079656.57,61788.53,-85807.81,26.55
5211503,2016,165868264.99,44558248.7,88970.24,64742951.28,38076178.53,6506375.24,22501328.38,25.52
5211602,2016,15264174.75,263777.07,0,1591030.96,263777.07,0,-2433322.15,26.36
5211701,2016,17586125,3223934.63,12970,5314033.37,2874727.66,320177.81,219729.48,29.04
5211800,2016,47364654.33,16924594.34,931919.72,23691513.46,15399762.66,2160343.98,10767139.13,29.25
5211909,2016,204886174.45,39004541.05,13132973.25,53233782.72,33193418.93,5801921.05,10023811.19,27.5
5212006,2016,10483477.55,1097070.2,0,2575579.33,968924.07,72537.11,-791172.56,32.11
5212055,2016,10033693.4,939993.28,59215.11,1785344.37,705098.84,234943.86,-849788.67,26.85
5212105,2016,18660284.47,3768491.85,255792.41,5505499.91,3168614.98,553753.16,667706.42,27.3
5212204,2016,34552266.35,6017158.36,85057.79,15140947.29,5719625.88,174577.59,862696.25,41.57
5212253,2016,10886315.24,702437.71,541.04,2152575.97,702437.71,71841.26,-1140135.28,30.25
5212303,2016,14446421.59,3715274.1,18598.31,6017956.11,2465854.16,1202257.22,1609835.7,30.64
5212501,2016,173914335.61,74958530.44,0,98892426.31,61464703.69,15007116.36,53314677.87,26.21
5212600,2016,10817155.39,985400.56,0,2062175.17,904527.6,164606.97,-861719.52,27.03
5212709,2016,12459372.52,3320025.28,0,5018063.98,2815851.08,1018027.16,2063668.74,23.71
5212808,2016,17566258.85,3460610.62,0,5920019.77,3046263.21,484583.38,807790.84,29.1
5212907,2016,10420553.45,501253.94,283044.98,1006221.82,436163.8,42007.83,-1317947.01,25.02
5212956,2016,0,0,0,0,0,0,0,0
5213004,2016,18980315.78,5627222.99,990.9,9662941.53,4794948.29,681377.05,2432107.62,38.1
5213053,2016,10648668.04,1147561.69,15120,2170440.71,918524.32,61027.3,-608239.6,26.24
5213087,2016,70619139.67,14812268.92,7951047.06,14842763.72,12901954.19,1447197.01,3910681.77,26.74
5213103,2016,121193348.89,25667866.65,11269086.32,28398469.25,22971157.22,3269546.33,7803082.73,26.29
5213400,2016,10659209.93,322324.73,0,1232319.11,216967.37,120595.1,-1624215.62,26.8
5213509,2016,11670939.11,3092620.74,0,5153950.13,3164032.86,121327.03,1277621.21,33.21
5213707,2016,19883167.14,4062497.53,118312.72,6537109.64,2544116.62,1425180.61,764662.63,29.63
5213756,2016,39877912.71,6616807.85,0,17020800.65,6616807.85,1034860.45,3042495.67,35.05
5213772,2016,10988537.82,1949469.08,0,3629663.56,1685414.76,254104.53,811480.79,25.65
5213806,2016,74614984.41,12902306.85,322575.41,20808236.13,9225971.91,3919275.83,1870912.84,25.81
5213855,2016,10097469.75,1511673.61,0,2234335.2,904640.59,590497.97,-317212.12,25.27
5213905,2016,14428611.22,1693893.84,34967.84,3286260.68,1419183.57,254374.36,-811962.01,28.65
5214002,2016,30209928.91,6528330.68,0,10003659.66,4802822.03,1398911.53,1249177.05,28.98
5214051,2016,14567790.43,2299444.82,772146.72,5339741.98,1863828.59,352437.04,585712.67,37.93
5214101,2016,11613758.11,1589593.23,0,3021336.2,1434759.96,68992.63,-408251.64,29.53
5214408,2016,14831827.56,2607881.82,5894.5,3699093.69,2026622.92,626819.17,113520.36,24.21
5214507,2016,55539534.49,12931550.24,2861007.4,22060862.53,11844286.66,959509.21,4731482.5,36.35
5214606,2016,69191290.49,17101001.86,8669897.66,36792315.6,17101001.86,0,15790040.84,42.88
5214705,2016,10790722.57,1411959.92,560936.26,2724261.41,1103950.43,287366.3,-468522.11,34.79
5214804,2016,10771772.18,434388.67,63443.37,1330768.56,298077.42,166784.83,-1505192.33,26.92
5214838,2016,1,1,1,1,1,1,1,1
5214861,2016,11127777.76,1783155.97,2800.47,3253838.74,1763024.97,21151.27,3179.06,29.24
5214879,2016,10232838.07,1208586.37,49958.52,2540990.67,1208586.37,45635.49,-417696.31,29.4
5214903,2016,12672813.82,1495864.95,0,3372707.28,1046978.53,732031.77,-697639.49,32.12
5215009,2016,15007197.12,2602210.02,0,4551525.17,2437611.23,159634.8,109361.98,29.6
5215207,2016,11294874.86,969736.32,117385.8,1935410.16,624176.9,310709.96,-1000650.09,27.03
5215231,2016,54582798.55,34926742.77,58530.45,39242671.19,25764219.13,9574763.93,26088610.67,24.21
5215256,2016,12567678.13,1469239.23,94.72,4579074.53,1325923.9,139694.29,-672232.37,41.78
5215306,2016,26270541.41,6198097.67,85363.72,10830832.16,5084760.37,1010376.76,1789231.55,34.74
5215405,2016,13421067.69,2356555.04,78255.18,3926648.04,2352186.66,0,-49099.9,30.21
5215504,2016,29101654.62,2052667.83,388272.4,7127784.23,1927548.98,128513.79,-1463552.09,30.86
5215603,2016,38013834.64,22407395.22,2142652.44,25086700.6,16403256.49,5821267.15,17256391.95,26.24
